timestamp,git_commit,git_dirty,vivado_version,bitstream_sha256,board_id,net,layer,clock_mhz,source,duration_s,num_inferences,channel,B,s,m,values_checked_exact,values_checked_saturated,mismatches,first_mismatch_v,m_rne,delta_from_rne,mismatches_rne,candidates_tried,sat_seed,ref_float_vs_exact_diffs,s_in_range
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,15,40,50,652654000350,448529,1000004,0,,652654000350,0,0,1,"default_rng([20260924, 0, 1, 15])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,15,48,58,167079424089550,448529,1000004,0,,167079424089550,0,0,1,"default_rng([20260924, 0, 1, 15])",0,True
2026-09-24T16:29:29+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv5,,model,14.259,,0,32,42,3286981954,347885,1000004,0,,3286981954,0,0,1,"default_rng([20260924, 0, 2, 0])",0,True
2026-09-24T16:29:29+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv5,,model,14.259,,0,40,50,841467380100,347885,1000004,0,,841467380100,0,0,1,"default_rng([20260924, 0, 2, 0])",0,True
2026-09-24T16:29:29+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv5,,model,14.259,,0,48,58,215415649305491,347885,1000004,0,,215415649305491,0,0,1,"default_rng([20260924, 0, 2, 0])",0,True
2026-09-24T16:29:29+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv5,,model,14.259,,1,32,42,3741964085,305587,1000004,0,,3741964085,0,0,1,"default_rng([20260924, 0, 2, 1])",0,True
2026-09-24T16:29:29+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv5,,model,14.259,,1,40,50,957942805688,305587,1000004,0,,957942805688,0,0,1,"default_rng([20260924, 0, 2, 1])",0,True
2026-09-24T16:29:29+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv5,,model,14.259,,1,48,58,245233358256087,305587,1000004,0,,245233358256087,0,0,1,"default_rng([20260924, 0, 2, 1])",0,True
2026-09-24T16:29:29+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv5,,model,14.259,,2,32,41,2570366692,222437,1000004,0,,2570366692,0,0,1,"default_rng([20260924, 0, 2, 2])",0,True
2026-09-24T16:29:29+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv5,,model,14.259,,2,40,49,658013873129,222437,1000004,0,,658013873129,0,0,1,"default_rng([20260924, 0, 2, 2])",0,True
