timestamp,git_commit,git_dirty,vivado_version,bitstream_sha256,board_id,net,layer,clock_mhz,source,duration_s,num_inferences,kind,img,model_cycles,rtl_cycles,err,model_total,rtl_total,model_mac,rtl_mac,stall,out_ok,issue_ok,write_ok
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F048,,rtl_sim,95.615423542,1,fuzz,,12829,12829,0,12831,12831,12800,12800,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F049,,rtl_sim,95.615423542,1,fuzz,,6779,6779,0,6781,6781,6750,6750,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F050,,rtl_sim,95.615423542,1,fuzz,,179,179,0,181,181,150,150,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F051,,rtl_sim,95.615423542,1,fuzz,,1613,1613,0,1615,1615,1584,1584,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F052,,rtl_sim,95.615423542,1,fuzz,,904,904,0,906,906,875,875,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F053,,rtl_sim,95.615423542,1,fuzz,,2639,2639,0,2641,2641,2610,2610,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F054,,rtl_sim,95.615423542,1,fuzz,,46279,46279,0,46281,46281,46250,46250,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F055,,rtl_sim,95.615423542,1,fuzz,,5629,5629,0,5631,5631,5600,5600,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F056,,rtl_sim,95.615423542,1,fuzz,,2079,2079,0,2081,2081,2050,2050,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F057,,rtl_sim,95.615423542,1,fuzz,,15149,15149,0,15151,15151,15120,15120,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F058,,rtl_sim,95.615423542,1,fuzz,,4817,4817,0,4819,4819,4788,4788,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F059,,rtl_sim,95.615423542,1,fuzz,,18497,18497,0,18499,18499,18468,18468,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F060,,rtl_sim,95.615423542,1,fuzz,,779,779,0,781,781,750,750,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F061,,rtl_sim,95.615423542,1,fuzz,,37529,37529,0,37531,37531,37500,37500,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F062,,rtl_sim,95.615423542,1,fuzz,,954,954,0,956,956,925,925,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F063,,rtl_sim,95.615423542,1,fuzz,,6679,6679,0,6681,6681,6650,6650,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F064,,rtl_sim,95.615423542,1,fuzz,,4565,4565,0,4567,4567,4536,4536,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F065,,rtl_sim,95.615423542,1,fuzz,,2493,2493,0,2495,2495,2464,2464,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F066,,rtl_sim,95.615423542,1,fuzz,,2099,2099,0,2101,2101,2070,2070,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F067,,rtl_sim,95.615423542,1,fuzz,,2189,2189,0,2191,2191,2160,2160,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F068,,rtl_sim,95.615423542,1,fuzz,,51773,51773,0,51775,51775,51744,51744,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F069,,rtl_sim,95.615423542,1,fuzz,,79,79,0,81,81,50,50,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F070,,rtl_sim,95.615423542,1,fuzz,,1829,1829,0,1831,1831,1800,1800,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F071,,rtl_sim,95.615423542,1,fuzz,,2079,2079,0,2081,2081,2050,2050,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F072,,rtl_sim,95.615423542,1,fuzz,,15023,15023,0,15025,15025,14994,14994,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F073,,rtl_sim,95.615423542,1,fuzz,,37229,37229,0,37231,37231,37200,37200,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F074,,rtl_sim,95.615423542,1,fuzz,,509,509,0,511,511,480,480,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F075,,rtl_sim,95.615423542,1,fuzz,,45629,45629,0,45631,45631,45600,45600,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F076,,rtl_sim,95.615423542,1,fuzz,,55229,55229,0,55231,55231,55200,55200,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F077,,rtl_sim,95.615423542,1,fuzz,,1579,1579,0,1581,1581,1550,1550,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F078,,rtl_sim,95.615423542,1,fuzz,,979,979,0,981,981,950,950,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F079,,rtl_sim,95.615423542,1,fuzz,,22429,22429,0,22431,22431,22400,22400,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F080,,rtl_sim,95.615423542,1,fuzz,,4733,4733,0,4735,4735,4704,4704,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F081,,rtl_sim,95.615423542,1,fuzz,,2549,2549,0,2551,2551,2520,2520,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F082,,rtl_sim,95.615423542,1,fuzz,,2469,2469,0,2471,2471,2440,2440,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F083,,rtl_sim,95.615423542,1,fuzz,,2729,2729,0,2731,2731,2700,2700,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F084,,rtl_sim,95.615423542,1,fuzz,,4635,4635,0,4637,4637,4606,4606,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F085,,rtl_sim,95.615423542,1,fuzz,,15629,15629,0,15631,15631,15600,15600,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F086,,rtl_sim,95.615423542,1,fuzz,,25229,25229,0,25231,25231,25200,25200,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F087,,rtl_sim,95.615423542,1,fuzz,,1204,1204,0,1206,1206,1175,1175,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F088,,rtl_sim,95.615423542,1,fuzz,,227,227,0,229,229,198,198,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F089,,rtl_sim,95.615423542,1,fuzz,,4349,4349,0,4351,4351,4320,4320,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F090,,rtl_sim,95.615423542,1,fuzz,,26489,26489,0,26491,26491,26460,26460,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F091,,rtl_sim,95.615423542,1,fuzz,,679,679,0,681,681,650,650,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F092,,rtl_sim,95.615423542,1,fuzz,,24029,24029,0,24031,24031,24000,24000,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F093,,rtl_sim,95.615423542,1,fuzz,,15329,15329,0,15331,15331,15300,15300,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F094,,rtl_sim,95.615423542,1,fuzz,,13229,13229,0,13231,13231,13200,13200,0,True,,
