timestamp,git_commit,git_dirty,vivado_version,bitstream_sha256,board_id,net,layer,clock_mhz,source,duration_s,num_inferences,channel,B,s,m,values_checked_exact,values_checked_saturated,mismatches,first_mismatch_v,m_rne,delta_from_rne,mismatches_rne,candidates_tried,sat_seed,ref_float_vs_exact_diffs
2026-09-24T05:16:53+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv3,,model,2.373,,1,32,40,2707332856,105593,1000004,0,,2707332856,0,0,1,"default_rng([20260924, 0, 2, 1])",0
2026-09-24T05:16:53+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv3,,model,2.373,,2,32,41,3236480323,176657,1000004,0,,3236480323,0,0,1,"default_rng([20260924, 0, 2, 2])",0
2026-09-24T05:16:53+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv3,,model,2.373,,3,32,41,3293018945,173623,1000004,0,,3293018945,0,0,1,"default_rng([20260924, 0, 2, 3])",0
2026-09-24T05:16:53+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv3,,model,2.373,,4,32,41,2606633987,219343,1000004,0,,2606633987,0,0,1,"default_rng([20260924, 0, 2, 4])",0
2026-09-24T05:16:53+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv3,,model,2.373,,5,32,41,4008374665,142637,1000004,0,,4008374665,0,0,1,"default_rng([20260924, 0, 2, 5])",0
2026-09-24T05:16:53+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv3,,model,2.373,,6,32,41,3466195106,164949,1000004,0,,3466195106,0,0,1,"default_rng([20260924, 0, 2, 6])",0
2026-09-24T05:16:53+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv3,,model,2.373,,7,32,41,3309321159,172769,1000004,0,,3309321159,0,0,1,"default_rng([20260924, 0, 2, 7])",0
2026-09-24T05:16:53+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv3,,model,2.373,,8,32,40,2289638512,124855,1000004,0,,2289638512,0,0,1,"default_rng([20260924, 0, 2, 8])",0
2026-09-24T05:16:53+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv3,,model,2.373,,9,32,42,4240752487,269643,1000004,0,,4240752487,0,0,1,"default_rng([20260924, 0, 2, 9])",0
2026-09-24T05:16:53+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv3,,model,2.373,,10,32,41,3145709835,181755,1000004,0,,3145709835,0,0,1,"default_rng([20260924, 0, 2, 10])",0
2026-09-24T05:16:53+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv3,,model,2.373,,11,32,41,4203213592,136025,1000004,0,,4203213592,0,0,1,"default_rng([20260924, 0, 2, 11])",0
2026-09-24T05:16:53+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv3,,model,2.373,,12,32,41,3704147850,154353,1000004,0,,3704147850,0,0,1,"default_rng([20260924, 0, 2, 12])",0
2026-09-24T05:16:53+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv3,,model,2.373,,13,32,41,3869605399,147753,1000004,0,,3869605399,0,0,1,"default_rng([20260924, 0, 2, 13])",0
2026-09-24T05:16:53+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv3,,model,2.373,,14,32,40,2302526070,124157,1000004,0,,2302526070,0,0,1,"default_rng([20260924, 0, 2, 14])",0
2026-09-24T05:16:53+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv3,,model,2.373,,15,32,41,3498036425,163447,1000004,0,,3498036425,0,0,1,"default_rng([20260924, 0, 2, 15])",0
2026-09-24T05:16:53+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv3,,model,2.373,,16,32,40,2771453734,103149,1000004,0,,2771453734,0,0,1,"default_rng([20260924, 0, 2, 16])",0
2026-09-24T05:16:53+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv3,,model,2.373,,17,32,41,2668064423,214293,1000004,0,,2668064423,0,0,1,"default_rng([20260924, 0, 2, 17])",0
2026-09-24T05:16:53+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv3,,model,2.373,,18,32,41,3055274162,187135,1000004,0,,3055274162,0,0,1,"default_rng([20260924, 0, 2, 18])",0
2026-09-24T05:16:53+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv3,,model,2.373,,19,32,41,3532444868,161855,1000004,0,,3532444868,0,0,1,"default_rng([20260924, 0, 2, 19])",0
